name,address,area
Centric Health - Village Medical Centre,"Unit 4 Village Centre, Watery Lane, Clondalkin, Dublin, D22 P3Y8",Dublin 22
Clondalkin Medical Centre,"24 Cherrywood Grove, Clondalkin, Dublin, D22 C3W9",Dublin 22
Dr Fergus Purcell,"5 Castle Crescent, Clondalkin, Dublin, D22 Y7Y8",Dublin 22
Dr John O'Grady,"48 Tower Road, Clondalkin, Dublin, D22 F2P9",Dublin 22
Dr K Olinger,"Unit 6 Village Centre, Watery Lane , Clondalkin, Dublin, D22 V2H9",Dublin 22
Dr Richard Mullen,"48 Tower Road, Clondalkin, Dublin, D22 F2P9",Dublin 22
Drs Lynch and Hamilton Surgery,"3 Orchard Road, Clondalkin, Dublin, D22 Y8N4",Dublin 22
Glenfield Family Practice,"20 Glenfield Avenue, Clondalkin, Dublin, D22 E309",Dublin 22
Hans Weber,"98 Monastery Road, Clondalkin, Dublin, D22 V2F6",Dublin 22
Nangor Medical Centre,"Old Nangor Road, Clondalkin, Dublin, D22 V2Y8",Dublin 22
Neilstown Health Centre,"Neilstown Village Court, Neilstown Road, Ronanstown, Dublin, D22 E8P2",Dublin 22
Neilstown Surgery,"Unit 3 Neilstown Shopping Centre, Neilstown Road, Collinstown, Dublin, D22 T0A8",Dublin 22
Newlands Cross Medical Centre,"Newlands Cross, Clondalkin, Dublin, D22 C1P3",Dublin 22
Tower Medical Centre,"Unit 8 Tower Shopping Centre, Tower Road, Clondalkin, Dublin, D22 N778",Dublin 22
Webdoctor,"14A Knockmeenagh Road, Newlands, Dublin, D22 Y793",Dublin 22
Wheatfield Surgery,"1 Chaplain's Place, Rowlagh, Dublin, D22 A4P2",Dublin 22
Clontarf Family Practice,"14 Kincora Avenue, Clontarf, Dublin, D03 T2W2",Dublin 3
Clontarf General Practice,"2/3 Churchgate Avenue, Clontarf East, Dublin, D03 DK59",Dublin 3
Clontarf Medical Centre,"26 Saint Gabriel's Road, Dublin, D03 H016",Dublin 3
D3 Medical Centre,"196 Howth Road, Clontarf East, Dublin, D03 C1P8",Dublin 3
Dr James Dolan,"191 Howth Road, Clontarf East, Dublin, D03 A3V7",Dublin 3
Dr Joseph Yasbeck,"13 Marino Mart, Dublin, D03 X5V2",Dublin 3
East Wall Medical Centre,"145 Church Road, North Dock, Dublin, D03 X894",Dublin 3
Fairview Family Practice,"17 Fairview Strand, Clontarf, Dublin, D03 A5Y9",Dublin 3
Fairview Medical Centre,"37/39 Fairview Strand, Clontarf, Dublin, D03 F8C2",Dublin 3
Hanlon Medical Practice,"199 Howth Road, Clontarf East, Dublin, D03 V6W9",Dublin 3
Malahide Road Surgery,"80a Malahide Road, Malahide, Dublin, D03 HK53",Dublin 3
Marino Medical Centre,"144 Philipsburgh Avenue, Clontarf West, Dublin, D03 R6X6",Dublin 3
North Strand Surgery,"110 North Strand Road, North Dock, Dublin, D03 KW81",Dublin 3
Sveikas Zmogus Family Medical Clinic,"384 Clontarf Road, Clontarf East, Dublin, D03 E3H0",Dublin 3
Vernon Medical Centre,"67/67a Vernon Avenue, Clontarf East, Dublin, D03 N2H7",Dublin 3
115 Medical,"115 Morehampton Road, Donnybrook, Dublin, D04 A6Y8",Dublin 4
Ailesbury Clinic,"David Lloyd River View, Beech Hill Road, Clonskeagh, Dublin, D04 AF10",Dublin 4
Baggot Street Medical,"10 Baggot Street Upper, Dublin, D04 KT35",Dublin 4
Ballsbridge Medical Centre,"66 Merrion Road, Dublin, D04 N1W5",Dublin 4
Barrow Medical,"Unit E2, The Gasworks, Barrow Street, Dublin, D04 C1K7",Dublin 4
Bath Avenue surgery,"Bath Avenue Medical Centre, 4/6 Bath Avenue, Dublin, D04 V8N8",Dublin 4
D4 Medical Centre,"95a Morehampton Road, Donnybrook, Dublin, D04 N903",Dublin 4
Dr Cahill Surgery,"70 Serpentine Avenue, Sandymount, Dublin, D04 E067",Dublin 4
Dr Gately's Surgery,"Cameo, 119 Strand Road, Sandymount, Dublin, D04 X4K6",Dublin 4
Dr Lisa Fay,"6 Merrion Court, Merrion Road, Dublin, D04 DD58",Dublin 4
Dr Michael Moore,"4 Morehampton Road, Donnybrook, Dublin, D04 T9C8",Dublin 4
Dr P Harte,"28a Park Avenue, Dublin, D04 P5Y8",Dublin 4
Dr Vincent Carroll,"Fairfield House, Newbridge Avenue, Dublin, D04 Y7H9",Dublin 4
Dr Wendy Lynch,"4 Morehampton Road, Donnybrook, Dublin, D04 T9C8",Dublin 4
General Practice Donnybrook,"114 Morehampton Road, Donnybrook, Dublin, D04 K3H7",Dublin 4
Irishtown And Ringsend Primary Care Centre,"1a Irishtown Road, Irishtown, Dublin, D04 HW30",Dublin 4
Merrion Gates Medical Centre,"240 Merrion Road, Dublin, D04 CF74",Dublin 4
Morehampton Clinic,"Gardeners Cottage, Royal Hospital, Bloomfield Avenue, Donnybrook, Dublin, D04 P8N6",Dublin 4
Morris Clinic,"68 Pembroke Road, Dublin, D04 A3T6",Dublin 4
Park Avenue Medical Centre,"28a Park Avenue, Sandymount, Dublin, D04 P5Y8",Dublin 4
Ringsend Medical Centre,"Unit 5 Ringsend Medical Centre, Fitzwilliam Street, Dublin, D04 T9X5",Dublin 4
Sandymount Road Medical Centre,"29 Sandymount Road, Dublin, D04 E034",Dublin 4
Sandymount Road Medical Centre,"Irishtown And Ringsend Primary Care Centre, 1a Irishtown Road, Ringsend, Dublin, D04 HW30",Dublin 4
Beechwood Medical,"46 Ashfield Road, Ranelagh, Dublin, D06 X320",Dublin 6
Dr. Nickrow,"32 Dunville Avenue, Ranelagh, Dublin, D06 NR77",Dublin 6
Moe Family Practice,"Holly Lodge, 13 Winton Road, Ranelagh, Dublin, D06 X2R4",Dublin 6
Rafter Medical Centre,"183 Rathmines Road Lower, Rathmines, Dublin, D06 E3E5",Dublin 6
Ranelagh Medical Centre,"22-26 Sandford Road, Ranelagh, Dublin, D06 A365",Dublin 6
Rathmines Clinic,"24 Rathmines Road Upper, Rathmines, Dublin, D06 W2R4",Dublin 6
Terenure Medical,"84a Terenure Road East, Rathfarnham, Dublin, D06 W5A2",Dublin 6
The Cambridge Clinic,"5 Cambridge Villas, Rathmines, Dublin, D06 C9X5",Dublin 6
The Doctors Clinic,"104 Rathmines Road Lower, Rathmines, Dublin, D06 F9P0",Dublin 6
The Rathgar Medical Pratice,"150 Rathgar Road, Rathfranham, Dublin, D06 YP29",Dublin 6
Cypress Clinic,"8 Cypress Park, Templeogue, Dublin, D6W YY63",Dublin 6W
Dr Ahmad Ajina,"1a Orwell Park, Dublin 6W, Dublin, D6W AD14",Dublin 6W
Greenlea Clinic,"118 Greenlea Road, Terenure, Dublin, D6W WY18",Dublin 6W
Harold's Cross Surgery,"254 Harold's Cross Road, Harold's Cross, Dublin, D6W F789",Dublin 6W
Harolds Cross Medical Practice,"324 Harold's Cross Road, Terenure, Dublin, D6W TN82",Dublin 6W
MyClinic.ie,"3 Terenure Road West, Terenure, Dublin, D6W YY79",Dublin 6W
Orwell Medical Centre,"Orwell Shopping Centre, Orwell Park, Templeogue, Dublin, D6W CE01",Dublin 6W
St Judes Family Practice,"69a Orwell Park Rise, Templeogue, Dublin, D6W AF86",Dublin 6W
Templeogue Village Medical,"184 Templeogue Road, Templeogue, Dublin, D6W WN53",Dublin 6W
Terenure General Medical Clinic,"9 Rathmore Villas, Rathfranham, Dublin, D6W HF84",Dublin 6W
The Medical Practice,"335 Kimmage Road Lower, Kimmage, Dublin, D6W Y967",Dublin 6W
Cabra Medical Centre,"109 Cabra Road, Cabra East, Dublin, D07 XH5V",Dublin 7
Centric Health - Navan Road,"Aras Slainte, Navan Road, Cabra West, Dublin, D07 K229",Dublin 7
Charter Medical Group,"1st Floor Block G, Smithfield Market, Smithfield, Dublin, D07 VKP9",Dublin 7
Dental & Medical Clinic Benburb Street,"77 Benburb Street, Dublin, D07 E9DE",Dublin 7
Dr M F Whitty,"340a North Circular Road, Dublin, D07 C9HE",Dublin 7
Dr Robert Dybkowski and Dr Ilona Izdebska Medical Centre,"Orby Chambers, 7 Coke Lane, Smithfield, Dublin, D07 T0FA",Dublin 7
Dr Vida Naciene,"400 North Circular Road, Dublin, D07 ER26",Dublin 7
Family Clinic LTD,"263 Navan Road, Ashtown, Dublin, D07 RCK4",Dublin 7
Family Health Care (Polska Przychodnia Rodzinna),"Unit 3 Block E, Thundercut Alley , Smithfield, Dublin, D07 YH01",Dublin 7
"Family Health Care, Thundercut Alley","Unit 3 Block E, Smithfield Market, Smithfield, Dublin, D07 VH01",Dublin 7
Family Medical Centre,"213 Navan Road, Ashtown, Dublin, D07 XN34",Dublin 7
Kajarmed Med Family Clinic Limited,"263 Navan Road, Ashtown, Dublin, D07 RCK4",Dublin 7
Liffey Medical,"8a Little Britain Street, Smithfield, Dublin, D07 NY18",Dublin 7
Manor Street Family Practice,"40/41 Manor Street, Stoneybatter, Dublin, D07 W586",Dublin 7
Medicus Medical Centre Stoneybatter,"Park Shopping Centre, 35-39 Prussia Street, Stoneybatter, Dublin, D07 TA4V",Dublin 7
Mountjoy Medical Centre,"Grangegorman Primary Care Centre, Grangegorman Upper, Grangegorman, Dublin, D07 H984",Dublin 7
Other - Safetynet Primary Care,"Macro Community Resource Centre, 1 Green Street, Dublin, D07 X6NR",Dublin 7
Phibsborough Dental & Medical Clinic,"340A North Circular Road, Phibsborough, Dublin, D07 C9HE",Dublin 7
Plaza Health,"Unit 16 Smithfield Markets, Smithfield, Dublin, D07 V583",Dublin 7
Sirona Medical,"185 Cabra Road, Cabra East, Dublin, D07 FR52",Dublin 7
Stoneybatter Family Practice,"66 Manor Street, Stoneybatter, Dublin, D07 R152",Dublin 7
The Berkeley Clinic,"4 Berkeley Street, Phibsborough, Dublin, D07 R6DD",Dublin 7
The Meridian Clinic Mountjoy,"67/67a Mountjoy Street, Phibsborough, Dublin, D07 NN50",Dublin 7
The Milligan Family Practice,"Unit 3a Maple Shopping Centre, Navan Road, Cabra West, Dublin, D07 H3NH",Dublin 7
Village Medical,"26 Fassaugha Avenue, Cabra, Dublin, D07 X9YN",Dublin 7
Camden Medical,"The Meath Primary Care Centre, Heytesbury Street, Portobello, Dublin, D08 HX97",Dublin 8
Centric Health St James Gate Medical Centre,"114-116 James's Street, The Liberties, Dublin, D08 KXN8",Dublin 8
Coombe Family Practice,"Rialto Primary Care Centre, 383 South Circular Road, Rialto, Dublin, D08 E0X7",Dublin 8
Dr Michael O'Malley,"1 Tyrconnell Road, Inchicore, Dublin, D08 AE98",Dublin 8
Dr O'Flynn,"239 South Circular Road, Dublin, D08 R2C1",Dublin 8
Dublin City GP,"1-9 The Meath Primary Care Centre, Heytesbury Street, Portobello, Dublin, D08 Y1TW",Dublin 8
Eldon Family Practice,"119 South Circular Road, Dublin, D08 VC0H",Dublin 8
Harrington Medical - Camden Clinic,"The Meath Primary Care Centre, Heytesbury Street, Portobello, Dublin, D08 HX97",Dublin 8
Himerus Health,"The Meath Primary Care Centre, Heytesbury Street, Portobello, Dublin, D08 HX97",Dublin 8
Inchicore Family Doctors,"St. Michael's Estate, Inchicore, Dublin, D08 KW35",Dublin 8
Inchicore Medical Centre,"15 Grattan Crescent, Inchicore, Dublin, D08 EWF2",Dublin 8
Kilmainham Medical Centre,"632 South Circular Road, Dublin, D08 HF80",Dublin 8
Rialto Primary Care Centre,"383 South Circular Road, Rialto, Dublin, D08 4Y99",Dublin 8
South Circular Road Surgery,"106a South Circular Road, Dublin, D08 K2V6",Dublin 8
Thomas Court Primary Care,"4 Saint Catherine's Lane West, The Liberties, Dublin, D08 WTW0",Dublin 8
Ballymun Family Practice - Ground Floor,"Ground Floor, Ballymun Civic Centre, Ballymun, Dublin, D09 C8P5",Dublin 9
Ballymun GP,"Ballymun Civic Centre, Main Street, Ballymun, Dublin, D09 C8P5",Dublin 9
Beaumont Park Clinic,"77 The Park, Beaumont Woods, Beaumont, Dublin, D09 T974",Dublin 9
Botanic Road Surgery,"97 Botanic Road, Glasnevin, Dublin, D09 E361",Dublin 9
Calderwood Family Clinic,"28 Sion Hill Road, Drumcondra, Dublin, D09 PX99",Dublin 9
College Gate Clinic,"123 Ballymun Road, Glasnevin, Dublin, D09 W523",Dublin 9
Collins Ave GP,"138 Collins Avenue, Whitehall, Dublin, D09 W7W3",Dublin 9
Crestfield Medical Practice,"14 Crestfield Drive, Whitehall, Dublin, D09 NY94",Dublin 9
D9 Family Practice,"204 Ballymun Road, Whitehall, Dublin, D09 X3P0",Dublin 9
Dr Cox,"2 Iveragh Road, Ashtown, Dublin, D09 FK15",Dublin 9
Dr Hampston,"128 Collins Avenue, Beaumont, Dublin, D09 Y367",Dublin 9
Dr J N Mohamed,"31 Oak Avenue, Royal Oak, Santry, Dublin, D09 HT95",Dublin 9
Drumcondra Clinic,"53 Drumcondra Road Lower, Drumcondra, Dublin, D09 N4X8",Dublin 9
Drumcondra Medical,"40 Drumcondra Road Upper, Drumcondra, Dublin, D09 C4H3",Dublin 9
Drumcondra Village Medical Centre,"10 Drumcondra Road Upper, Drumcondra, Dublin, D09 H3C5",Dublin 9
Griffith Avenue Practice,"411 Griffith Avenue, Whitehall, Dublin, D09 YY19",Dublin 9
Omni Park Medical Centre,"Unit 87, Omni Park Shopping Centre, Swords Road, Dublin, D09 K021",Dublin 9
Prospect Medical Practice,"22 Prospect Road, Phibsborough, Dublin, D09 C940",Dublin 9
Santry GP.ie Clinic,"Unit 1 Northwood House, Northwood Business Park, Santry, Dublin, D09 E289",Dublin 9
Shanard Family Practice,"33 Shanard Road, Whitehall, Dublin, D09 E1W1",Dublin 9
Swords Road Medical Practice,"250 Swords Road, Santry, Dublin, D09 E735",Dublin 9
The Surgery,"37a Swords Road, Whitehall, Dublin, D09 T9K7",Dublin 9
United Medical Centre,"14 Drumcondra Road Lower, Drumcondra, Dublin, D09 E2H2",Dublin 9
Whitehall Clinic,"394a Collins Avenue, Whitehall, Dublin, D09 F1T2",Dublin 9
Whitworth Medical Centre,"Saint Brigid's Road Lower, Drumcondra, Dublin, D09 R2K2",Dublin 9
Swords Family Practice,"28 Brackenstown Village, Swords, Dublin, K67 F6E4",Dublin North
Doctor P Kerrigan,"Cloghanover, Headford, Galway, Co. Galway",Galway
Abbeyknockmoy Health Centre,"Culliagh North, Abbeyknockmoy, Galway, H54 H103",Galway
Abbeyknockmoy Health Centre,"Culliagh North, Abbeyknockmoy, Galway, H54 H103",Galway
Annaghdown Medical Centre,"Mace, Corrandulla, Galway, H91VH67",Galway
Arlington House Medical Centre,"Dublin Road, Oranmore, Galway, H91 FXD0",Galway
Athenry Surgery,"Athenry Primary Care Centre, Raheen, Athenry, Galway, H65 KH93",Galway
Atlantic Medical Practice,"43/45 Father Griffin Road, Lower Salthill, Salthill, Galway, H91 X4A6",Galway
Ballygar Health Centre,"High Street, Ballygar, Galway, F42 HK53",Galway
Bishop Street Medical Center,"Bishop Street, Tuam, Galway, H54 A243",Galway
Camp Street Surgery,"Lower Camp Street, Oughterard, Galway, H91 R2XF",Galway
Carepoint Medical Centre,"4 Mulvoy Park, Sean Mulvoy Road, Galway City, Galway, H91 EN26",Galway
Carepoint Medical Centre,"4 Mulvoy Park, Galway City, Galway, H91 EN26",Galway
Carna Health Centre,"Carna, Galway, Galway, H91 TNY0",Galway
Carraroe Health Centre,"Carraroe, Barraderry, Galway, H91 X6V9",Galway
Castle Medical Centre,"Unit 4 Centrepoint, Liosban Industrial Estate, Tuam Road, Galway, H91 Y61X",Galway
Cill Cais Family Practice,"Unit 2 Cill Cais, Clybaun Road, Knocknacarra, Galway, H91 T634",Galway
Claddagh Medical Centre,"The Crescent, Galway City, Galway, H91 EA37",Galway
Clarinbridge Medical Centre,"Hillpark, Clarinbridge, Galway, H91 XW63",Galway
Clifden Health Centre,"Hospital Road, Clifden, Galway, H71 XP84",Galway
Clifden Medical Practice,"Westport Road, Clifden, Galway, H71 TX62",Galway
Clonbur Primary Care Centre,"Clonbur, Galway City, Galway, F12 E653",Galway
Clonbur Primary Care Centre,"Cloonbur, Clonbur, Galway, F12 E653",Galway
Clybaun Surgery,"Clybaun Road, Knocknacarra, Galway, H91 AKK3",Galway
Corrib Medical Centre,"17/18 Mill Street, Galway City, Galway, H91 E206",Galway
Crescent Medical Centre,"1 The Crescent, Galway City, Galway, H91 E7FP",Galway
Doctor J. Winters Surgery,"Church Road, Moycullen, Galway, H91 DT88",Galway
Doctor365 Galway,"Unit 3 University Halls, Newcastle Road, Galway City, Galway, H91 WR66",Galway
Doctors Clinic,"32 Newcastle Road, Newcastle Road, Galway City, Galway, H91 HYF5",Galway
Dr Anne Rowan GP Surgery,"Coill Rainne, Killarainy, Moycullen, Galway, H91 TX08",Galway
Dr Edward Harty,"Annaghvaan, Bealadangan, Galway, H91 DX4F",Galway
Dr Fiona Molloy,"Culleen, Headford, Galway",Galway
Dr K Duddy,"Saint Brendan's Street, Portumna, Galway, H53 R6X5",Galway
Dr Kieran Whyte,"42 Father Griffin Road, Galway City, Galway, H91 XFF9",Galway
Dr McGauran Surgery,"Eyrecourt Health Centre, Market Street, Townparks, Galway, H53 FX94",Galway
Dr Moloney Surgery,"Abbey House, Abbey Street, Loughrea, Galway, H62 YV70",Galway
Dr Paddy McDonagh,"Knockdoe, Claregalway, Galway, H91 YY40",Galway
Dr Peter A Sloane,"Carraroe South, Carraroe, Galway, H91 YF62",Galway
Dr Pigott Surgery,"Church Street, Gort, Galway, H91 RW2A",Galway
Dr Raymond Brogan,"Clonfert Avenue, Portumna, Galway, H53 PX26",Galway
Dr Sargaison,"Kiltormer Health Centre, Kiltormer, Ballinasloe, Galway, H53 R223",Galway
Dr. Rachel Hynes,"Health Centre, Carraroe, Galway, H91 X6V9",Galway
Dunloe Medical Centre,"Harbour Road, Ballinasloe, Galway, H53 C1X0",Galway
Dunmore Medical Practice,"High Street, Dunmore, Galway, H54 NP80",Galway
Galvia West Medical Centre,"Seamus Quirke Road, Galway City, Galway, H91 V8XK",Galway
GalviaWest Medical Centre,"Westside Shopping Centre, Seamus Quirke Road, Galway City, Galway, H91 V8XK",Galway
Galway Bay Medical Centre,"24 Dock Gate, Dock road, Galway City, Galway, H91 PCF5",Galway
Galway City Medical Centre,"1 Ely Place, Sea Road, Galway City, Galway, H91 EWH5",Galway
Galway Clinic,"Doughiska, Galway, H91 HHT0",Galway
Galway East Medical Practice,"5 Doughiska Retail Park, Doughiska Road, Galway City, Galway, H91 NPW2",Galway
Galway Primary Care,"Harrmack House, Tuam Road, Galway City, Galway, H91 DHE0",Galway
GalwayDoc Walk-In Clinic,"1st Floor Tuam Road Retail Centre, Tuam Road, Galway City, Galway, H91 KHA8",Galway
Gort Medical Centre,"Gort House, Bridge Street, Gort, Galway, H91 CHX5",Galway
Grove Medical Centre,"Sean Purcell Road, Tuam, Galway, Galway, H54 XA07",Galway
Hazel Medical Centre,"6 Mulvoy Park, Sean Mulvoy Road, Galway City, Galway, H91 PX98",Galway
Headford Health Centre,"Galway Road, Headford, Galway, H91 Y6X4",Galway
Headford Road Medical Clinic,"Terryland Shopping Centre, Headford Road, Galway City, Galway, H91 E0W0",Galway
Influmed Family Practice,"5 Cul Na Coirre, Headford, Galway, H91 Y93F",Galway
Inis Oirr Primary Care Centre,"An Tra, Inis Oirr, Galway, H91 X625",Galway
Kilconnell Health Centre,"Kilconnell, Ballinasloe, Galway, H53 PK50",Galway
Kilrainey Medical Centre,"Gortyloughlin, Moycullen, Galway, H91 EPC8",Galway
Kilronan Health Centre,"Lower Kilronan, Inishmore, Galway, H91 E677",Galway
Kingston Medical Centre,"Unit 4, Kingston Hall, Knocknacarra, Galway, H91 CH29",Galway
Kingston Medical Centre,"Unit 4, Kingston Hall, Knocknacarra Galway, Galway, H91 CH29",Galway
Kinvara Clinic,"Kinvara, Galway, H91 HE2Y",Galway
Knocknacarra Medical Centre,"Fearnóg, Clybaun Road, Knocknacarra, Galway, H91 TKF3",Galway
Knocknacarra Primary Care,"1 Ashleigh Grove, Ballymoneen Road, Knocknacarra, Galway, H91 X680",Galway
Lakeshore Medical Centre,"Barrack Street, Loughrea, Galway, H62 HP92",Galway
Lakeview Medical Centre,"Creggs Road, Glenamaddy, Galway, F45 K293",Galway
Laurencetown Health Centre,"Lawrencetown, Ballinasloe, Galway, H53 XN73",Galway
Lettermore Health Centre,"Lettermore, Galway, Galway, H91 KXA5",Galway
Lower Salthill Medical Practice,"61 Salthill Road Lower, Galway City, Galway, H91 N2WR",Galway
Main Street Clinic,"Main Street, Loughrea, Galway, H62 X252",Galway
Mall Medical Centre,"The Mall, Tuam, Galway, H54 HR50",Galway
Maretimo Medical,"Unit 2, Upper Salthill, Galway, H91 EW68",Galway
Marina House Medical Centre,"Marina Point, New Road, Ballinasloe, Galway, H53 C9V6",Galway
Market Square Surgery,"The Crane Centre, Main Street, Kinvara, Galway, H91 RFC3",Galway
Medical Centre,"Ballyroe, Williamstown, Galway, F45 AH28",Galway
Mervue Health Centre,"Michael Collins Road, Mervue, Galway, H91 T6Y3",Galway
Mervue Medical Centre,"6 Plunkett Avenue, Mervue, Galway City, Galway, H91 VYW1",Galway
Millennium Medical Centre,"Mountbellew, Ballinasloe, Galway, H53 E2R7",Galway
Moycullen Medical Centre,"Kilrainey, Moycullen, Galway, H91 A899",Galway
Newcastle Medical Centre,"44 Lower Newcastle, Galway City, Galway, H91 NX22",Galway
Nile Lodge Medical Clinic,"6 Nile Lodge, Salthill Road Lower, Salthill, Galway, H91 XHV5",Galway
Oran Medical Centre,"4 Cloonarkin Drive, Oran More, Galway, H91 E42C",Galway
Oranmore Family Doctors,"Oranhill, Oranmore, Galway, H91 C432",Galway
Oughterard Health Centre,"Main Street, Oughterard, Galway, H91 C590",Galway
Palace Medical Centre,"Tullinadaly Road, Tuam, Galway, H54 PK10",Galway
Pine Grove Medical Centre,"Tuam Road, Mountbellew, Galway, H53 YA46",Galway
Portumna Medical Centre,"Saint Patrick's Street, Portumna, Galway, H53 A0X3",Galway
Prospect Health Centre,"Atlantic House, 39 Prospect Hill, Galway City, Galway, H91 DD5X",Galway
Renmore Park Surgery,"2 Renmore Park, Renmore, Galway, H91 H9K6",Galway
Renvyle Health Centre,"Tully More, Renvyle, Galway, H91 RW52",Galway
River Clare Family Practice,"Unit 8/9, Cois Chláir, Claregalway, Galway, H91 EY81",Galway
Roscam Medical,"Centric Health Primary Care, Unit 17, Level 1 Briarhill Shopping Centre, Briarhill, Galway, H91 PF88",Galway
Rosmuc Health Centre,"Rosmuck Health Centre, Turlough, Rosmuck, Galway, H91 X8XV",Galway
Roundstone Health Centre,"Coast Road, Roundstone, Galway, H91 W7D0",Galway
Saint Brendan's Medical Centre,"Saint Brendan's Campus, Lake Road, Loughrea, Galway, H62 VY76",Galway
Salthill Medical Centre,"Mount Carmel, 216 Upper Salthill, Galway City, Galway, H91 X6X0",Galway
Seacrest Knocknacarra Medical Centre,"Shangort Road, Knocknacarra, Galway, H91 VPX2",Galway
Seapoint Medical Centre,"Barna Village Centre, Seapoint, Barna, Galway, H91 F6C9",Galway
Spiddal Medical Centre,"River Road, Spiddal, Galway, H91 FPP6",Galway
The Health Centre,"Athenry, Galway, H65 RH66",Galway
The Heights Medical Centre,"Castlelawn Shopping Centre, Coolough Road, Galway City, Galway, H91 YR1X",Galway
Tuam Family Practice,"Tuam Primary Care Centre, Sean Purcell Road, Tuam, Galway, H54 DT61",Galway
Turloughmore Medical Centre,"Lackagh More, Turloughmore, Galway, H65 H599",Galway
Whitehall Medical Centre,"Whitehall, Galway, Galway, H91 D9FW",Galway
Abbeydorney Medical Centre,"Bridge Road, Abbeydorney, Kerry, V92 YK5X",Kildare
An Neidin Family Practice,"Railway Road, Kenmare, Kerry, V93 Y02R",Kildare
Annascaul Health Centre,"Church Avenue, Annascaul, Kerry, V92 KA03",Kildare
Ardfert Medical Centre,"Farranwilliam, Ardfert, Kerry, V92 EKX9",Kildare
Ballyduff Medical Centre,"Main Street, Ballyduff, Kerry, V92 TR66",Kildare
Brandon Medical Centre,"5 Hoffmans Terrace, Basin Road, Tralee, Kerry, V92 XA7K",Kildare
Brooklands Medical Centre,"5 Main Street, Castleisland, Kerry, V92 WPE0",Kildare
Brooklands Medical Practice,"Brooklands Medical Centre, 5 Main Street, Castleisland, Kerry, V92 WPE0",Kildare
Cahernane Medical Centre,"42 Cahernane Meadows, Killarney, Kerry, V93 P6DE",Kildare
Carraig Medical Centre,"5 Gas Terrace, Tralee, Kerry, V92 F5HF",Kildare
Castlegregory Medical Centre,"Clossguire, Castlegregory, Kerry, V92 KN90",Kildare
Castleview Medical Centre,"Kealgorm House, Killarney Road, Castleisland, Kerry, V92 AY88",Kildare
Church Street Surgery,"Castletown House, 25/27 Church Street, Castleisland, Kerry, V92 EW6D",Kildare
Clinic Cois Abhann,"Spa Road, Dingle, Kerry, V92 K282",Kildare
Clounalour Medical Centre,"Centrepoint, John Joe Sheehy Road, Tralee, Kerry, V92 P2FE",Kildare
Convent Street Clinic,"41 Market Street, Listowel, Kerry, V31 DV76",Kildare
Cooper Medicare,"17 Ashe Street, Tralee, Kerry, V92 D76R",Kildare
Courthouse Road Medical Centre,"6 Courthouse Road, Listowel, Kerry, V31 XD32",Kildare
Daly's Lane Surgery,"Daly's Lane, Main Street, Killorglin, Kerry, V93 KX2C",Kildare
Deenagh Medical Practice,"Killarney Primary Care Centre, Rock Road, Killarney, Kerry, V93 VW2F",Kildare
Dingle Doc,"Gort A Lin, John Street, Dingle, Kerry, V92 EWR4",Kildare
Dingle Medical Centre,"The Mall, Dingle, Kerry, V92 FC3K",Kildare
Dr Anne Cronin,"Market Road, Killorglin, Kerry, V93 RY62",Kildare
Dr Anne McSwiney,"Pluckeen, Caherslee, Tralee, Kerry, V92 AW21",Kildare
Dr Aoife de Faoite Surgery,"33 Main Street, Castleisland, Kerry, V92 P0AC",Kildare
Dr J Shanahan and Dr B O'Donovan,"Main Street, Caherciveen, Kerry, V23 CD89",Kildare
Dr Marek Waloch,"117 Rock Street, Tralee, Kerry, V92 K1KF",Kildare
Fairies Cross Medical Centre,"Clounalour, Tralee, Kerry, V92 X3PK",Kildare
Farranfore Medical Centre,"Dromore, Farranfore, Kerry, V93 E6HT",Kildare
Fuchsia Medical Centre,"Ballinorig Business Park, Tralee, Kerry, V92 VP4V",Kildare
Ivy Clinic,"Convent Road, Listowel, Kerry, V31 VN25",Kildare
Killarney GP Medical Centre,"6b Scotts Street, Esat Avenue Road, Killarney, Kerry, V93 HW28",Kildare
Killarney Medical Centre,"47 New Street, Killarney, Kerry, V93 CKD7",Kildare
Killorglin Medical Centre,"Market Street, Killorglin, Kerry, V93 N283",Kildare
Lixnaw Healthcare Services,"The Cross, Lixnaw, Kerry, V92 AC97",Kildare
Manor Medical Centre,"Willow Drive, Rathass, Tralee, Kerry, V92 C6CY",Kildare
Milltown Medical Centre,"Bridge Street, Milltown, Kerry, V93 D6X7",Kildare
Moyderwell Medical Centre,"14 Moyderwell, Tralee, Kerry, V92 K803",Kildare
Oakpark Medical Centre,"Oakpark, Tralee, Kerry, V92 RF2D",Kildare
Ocean Medical Centre,"Cliff Road, Ballybunnion, Kerry, V31 XR96",Kildare
Park Medical and Wellness Centre,"Building 2 Central Point, Park Road, Killarney, Kerry, V93 FF2R",Kildare
Park Medical Practice,"Park Road, Killarney, Kerry, V93 CV0F",Kildare
Rathmore Surgery,"Old Road, Shinnagh, Rathmore, Kerry, P51 YC61",Kildare
Rattoo Surgery,"Rattoo Medical Centre, Knockananore, Ballyduff, Kerry, V92 RD2N",Kildare
Ross Medical Practice,"The Reeks Gateway, Tralee Road, Killarney, Kerry, V93 KN8K",Kildare
Sneem Health Centre,"Inchinaleega East, Sneem, Kerry, V93 X62X",Kildare
